"","year","low","central","high"
"161",2160,978.062361333102,1956.1247226662,2934.18708399931
"162",2161,992.793622581133,1985.58724516227,2978.3808677434
"163",2162,1007.74676135614,2015.49352271227,3023.24028406841
"164",2163,1022.92511950618,2045.85023901237,3068.77535851855
"165",2164,1038.33208921319,2076.66417842637,3114.99626763956
"166",2165,1053.97111375102,2107.94222750204,3161.91334125306
"167",2166,1069.84568825502,2139.69137651005,3209.53706476507
"168",2167,1085.95936050317,2171.91872100633,3257.8780815095
"169",2168,1102.3157317089,2204.63146341779,3306.94719512669
"170",2169,1118.91845732599,2237.83691465197,3356.75537197796
"171",2170,1135.77124786548,2271.54249573097,3407.31374359645
"172",2171,1152.87786972497,2305.75573944993,3458.6336091749
"173",2172,1170.24214603025,2340.48429206051,3510.72643809076
"174",2173,1187.8679574899,2375.73591497979,3563.60387246969
"175",2174,1205.75924326241,2411.51848652481,3617.27772978722
"176",2175,1223.92000183665,2447.84000367331,3671.76000550996
"177",2176,1242.35429192546,2484.70858385091,3727.06287577637
"178",2177,1261.06623337265,2522.13246674529,3783.19870011794
"179",2178,1280.06000807385,2560.12001614769,3840.18002422154
"180",2179,1299.33986091103,2598.67972182206,3898.01958273309
"181",2180,1318.91010070123,2637.82020140247,3956.7303021037
"182",2181,1338.77510115951,2677.55020231902,4016.32530347853
"183",2182,1358.93930187638,2717.87860375277,4076.81790562915
"184",2183,1379.40720931009,2758.81441862018,4138.22162793027
"185",2184,1400.18339779368,2800.36679558737,4200.55019338105
"186",2185,1421.27251055735,2842.5450211147,4263.81753167206
"187",2186,1442.67926076613,2885.35852153226,4328.03778229839
"188",2187,1464.40843257324,2928.81686514648,4393.22529771971
"189",2188,1486.46488218924,2972.92976437849,4459.39464656773
"190",2189,1508.85353896743,3017.70707793487,4526.5606169023
"191",2190,1531.57940650542,3063.15881301084,4594.73821951626
"192",2191,1554.64756376339,3109.29512752678,4663.94269129018
"193",2192,1578.06316619922,3156.12633239844,4734.18949859766
"194",2193,1601.8314469206,3203.66289384119,4805.49434076179
"195",2194,1625.95771785463,3251.91543570925,4877.87315356388
"196",2195,1650.44737093495,3300.89474186989,4951.34211280484
"197",2196,1675.30587930678,3350.61175861355,5025.91763792033
"198",2197,1700.53879855009,3401.07759710018,5101.61639565026
"199",2198,1726.15176792119,3452.30353584238,5178.45530376358
"200",2199,1752.1505116131,3504.30102322619,5256.45153483929
"201",2200,1778.54084003475,3557.08168006951,5335.62252010426
"202",2201,1805.32865110964,3610.65730221927,5415.98595332891
"203",2202,1832.51993159384,3665.03986318768,5497.55979478152
"204",2203,1860.12075841408,3720.24151682815,5580.36227524223
"205",2204,1888.13730002573,3776.27460005146,5664.4119000772
"206",2205,1916.57581779153,3833.15163558306,5749.72745337459
"207",2206,1945.44266738082,3890.88533476164,5836.32800214245
"208",2207,1974.74430018999,3949.48860037998,5924.23290056997
"209",2208,2004.48726478431,4008.97452956863,6013.46179435294
"210",2209,2034.67820836141,4069.35641672282,6104.03462508423
"211",2210,2065.32387823689,4130.64775647378,6195.97163471067
"212",2211,2096.43112335226,4192.86224670452,6289.29337005678
"213",2212,2128.00689580557,4256.01379161115,6384.02068741672
"214",2213,2160.05825240518,4320.11650481035,6480.17475721553
"215",2214,2192.59235624675,4385.1847124935,6577.77706874025
"216",2215,2225.61647831427,4451.23295662853,6676.8494349428
"217",2216,2259.13799910491,4518.27599820981,6777.41399731472
"218",2217,2293.16441027853,4586.32882055706,6879.4932308356
"219",2218,2327.70331633198,4655.40663266397,6983.10994899595
"220",2219,2362.7624362986,4725.5248725972,7088.2873088958
"221",2220,2398.34960547328,4796.69921094656,7195.04881641984
"222",2221,2434.47277716367,4868.94555432733,7303.418331491
"223",2222,2471.14002446755,4942.28004893509,7413.42007340264
"224",2223,2508.35954207712,5016.71908415424,7525.07862623135
"225",2224,2546.13964811042,5092.27929622084,7638.41894433126
"226",2225,2584.48878597026,5168.97757194052,7753.46635791078
"227",2226,2623.41552623132,5246.83105246264,7870.24657869397
"228",2227,2662.92856855551,5325.85713711103,7988.78570566654
"229",2228,2703.03674363626,5406.07348727252,8109.11023090878
"230",2229,2743.74901517207,5487.49803034415,8231.24704551622
"231",2230,2785.07448186976,5570.14896373951,8355.22344560927
"232",2231,2827.02237947797,5654.04475895594,8481.06713843391
"233",2232,2869.60208285124,5739.20416570247,8608.80624855371
"234",2233,2912.82310804513,5825.64621609025,8738.46932413538
"235",2234,2956.69511444301,5913.39022888602,8870.08534332903
"236",2235,3001.22790691472,6002.45581382944,9003.68372074416
"237",2236,3046.43143800795,6092.86287601591,9139.29431402386
"238",2237,3092.31581017246,6184.63162034493,9276.94743051739
"239",2238,3138.89127801787,6277.78255603573,9416.6738340536
"240",2239,3186.1682506054,6372.33650121081,9558.50475181621
"241",2240,3234.15729377428,6468.31458754857,9702.47188132285
"242",2241,3282.86913250293,6565.73826500586,9848.60739750878
"243",2242,3332.314653306,6664.629306612,9996.943959918
"244",2243,3382.50490666733,6765.00981333467,10147.514720002
