"year","temp_path","scc"
"2584",1.677970645,1358472.67214724
"2585",1.677970645,1381566.62452283
"2586",1.677970645,1405053.17155952
"2587",1.677970645,1428938.98728954
"2588",1.677970645,1453230.85920128
"2589",1.677970645,1477935.69016806
"2590",1.677970645,1503060.50040952
"2591",1.677970645,1528612.42948648
"2592",1.677970645,1554598.73832966
"2593",1.677970645,1581026.81130286
"2594",1.677970645,1607904.15830126
"2595",1.677970645,1635238.41688538
"2596",1.677970645,1663037.35445125
"2597",1.677970645,1691308.8704376
"2598",1.677970645,1720060.99857043
"2599",1.677970645,1749301.90914583
"2600",1.677970645,1779039.91135155
"2601",1.677970645,1809283.45562807
"2602",1.677970645,1840041.13606979
"2603",1.677970645,1871321.69286703
"2604",1.677970645,1903134.01478957
"2605",1.677970645,1935487.14171236
"2606",1.677970645,1968390.26718419
"2607",1.677970645,2001852.74104005
"2608",1.677970645,2035884.07205784
"2609",1.677970645,2070493.93066026
"2610",1.677970645,2105692.15166269
"2611",1.677970645,2141488.73706769
"2612",1.677970645,2177893.85890702
"2613",1.677970645,2214917.86213205
"2614",1.677970645,2252571.26755316
"2615",1.677970645,2290864.77482927
"2616",1.677970645,2329809.26550807
"2617",1.677970645,2369415.80611792
"2618",1.677970645,2409695.65131244
"2619",1.677970645,2450660.24706839
"2620",1.677970645,2492321.23393801
"2621",1.677970645,2534690.45035662
"2622",1.677970645,2577779.93600644
"2623",1.677970645,2621601.93523758
"2624",1.677970645,2666168.90054718
"2625",1.677970645,2711493.49611773
"2626",1.677970645,2757588.60141549
"2627",1.677970645,2804467.31485008
"2628",1.677970645,2852142.95749627
"2629",1.677970645,2900629.07687914
"2630",1.677970645,2949939.45082337
"2631",1.677970645,3000088.09136814
"2632",1.677970645,3051089.24874856
"2633",1.677970645,3102957.41544464
"2634",1.677970645,3155707.33029923
"2635",1.677970645,3209353.98270594
"2636",1.677970645,3263912.61686813
"2637",1.677970645,3319398.73613042
"2638",1.677970645,3375828.10738381
"2639",1.677970645,3433216.76554556
"2640",1.677970645,3491581.01811539
"2641",1.677970645,3550937.44980902
"2642",1.677970645,3611302.92727046
"2643",1.677970645,3672694.60386447
"2644",1.677970645,3735129.92455042
"2645",1.677970645,3798626.63083903
"2646",1.677970645,3863202.76583329
"2647",1.677970645,3928876.67935524
"2648",1.677970645,3995667.03315966
"2649",1.677970645,4063592.80623653
"2650",1.677970645,4132673.30020361
"2651",1.677970645,4202928.14479064
"2652",1.677970645,4274377.30341675
"2653",1.677970645,4347041.07886269
"2654",1.677970645,4420940.11903955
"2655",1.677970645,4496095.42285534
"2656",1.677970645,4572528.34618148
"2657",1.677970645,4650260.60792065
"2658",1.677970645,4729314.29617768
"2659",1.677970645,4809711.87453543
"2660",1.677970645,4891476.1884374
"2661",1.677970645,4974630.47167858
"2662",1.677970645,5059198.35300692
"2663",1.677970645,5145203.86283684
"2664",1.677970645,5232671.44007686
"2665",1.677970645,5321625.93907326
"2666",1.677970645,5412092.63667196
"2667",1.677970645,5504097.23940008
"2668",1.677970645,5597665.89076985
"2669",1.677970645,5692825.17870661
"2670",1.677970645,5789602.14310294
"2671",1.677970645,5888024.28350127
"2672",1.677970645,5988119.56690718
"2673",1.677970645,6089916.43573523
"2674",1.677970645,6193443.81589008
"2675",1.677970645,6298731.12498485
"2676",1.677970645,6405808.28069931
"2677",1.677970645,6514705.70927978
"2678",1.677970645,6625454.35418393
"2679",1.677970645,6738085.68487226
"2680",1.677970645,6852631.70574899
"2681",1.677970645,6969124.96525502
"2682",1.677970645,7087598.56511544
"2683",1.677970645,7208086.16974406
"2684",1.677970645,7330622.01580793
"2685",1.677970645,7455240.92195445
"2686",1.677970645,7581978.29870357
"2687",1.677970645,7710870.15850838
"2688",1.677970645,7841953.12598659
"2689",1.677970645,7975264.44832581
"2690",1.677970645,8110842.00586581
"2691",1.677970645,8248724.32286065
"2692",1.677970645,8388950.5784235
"2693",1.677970645,8531560.61765772
"2694",1.677970645,8676594.9629771
"2695",1.677970645,8824094.82561824
"2696",1.677970645,8974102.11734888
"2697",1.677970645,9126659.46237517
"2698",1.677970645,9281810.20945108
"2699",1.677970645,9439598.44419386
"2700",1.677970645,9600069.00160872
"2701",1.677970645,9763267.47882646
"2702",1.677970645,9929240.24805726
"2703",1.677970645,10098034.469765
"2704",1.677970645,10269698.1060655
"2705",1.677970645,10444279.9343517
"2706",1.677970645,10621829.5611518
"2707",1.677970645,10802397.4362213
"2708",1.677970645,10986034.8668758
"2709",1.677970645,11172794.032567
"2710",1.677970645,11362727.9997059
"2711",1.677970645,11555890.7367385
"2712",1.677970645,11752337.1294778
"2713",1.677970645,11952122.9966957
"2714",1.677970645,12155305.1059805
"2715",1.677970645,12361941.1898635
"2716",1.677970645,12572089.9622201
"2717",1.677970645,12785811.134949
"2718",1.677970645,13003165.434935
"2719",1.677970645,13224214.6213011
"2720",1.677970645,13449021.5029519
