"year","var","val","n_sim","started"
2020,"additionality",108801.016632959,4,TRUE
2021,"project",-157428.455857694,4,TRUE
2021,"counterfactual",-223946.313339293,4,TRUE
2021,"additionality",66517.8574815989,4,TRUE
1991,"project",-115393.649307132,5,FALSE
1991,"counterfactual",-52334.666228503,5,FALSE
1991,"additionality",-63058.9830786288,5,FALSE
1992,"project",-34114.6163378954,5,FALSE
1992,"counterfactual",-36440.0997812003,5,FALSE
1992,"additionality",2325.4834433049,5,FALSE
1993,"project",-19497.9369089454,5,FALSE
1993,"counterfactual",-40043.4702428132,5,FALSE
1993,"additionality",20545.5333338678,5,FALSE
1994,"project",-64481.3661555648,5,FALSE
1994,"counterfactual",-48586.7997082621,5,FALSE
1994,"additionality",-15894.5664473027,5,FALSE
1995,"project",-72880.1995623708,5,FALSE
1995,"counterfactual",-140964.936179578,5,FALSE
1995,"additionality",68084.7366172075,5,FALSE
1996,"project",-130385.115388095,5,FALSE
1996,"counterfactual",-147182.782201737,5,FALSE
1996,"additionality",16797.6668136418,5,FALSE
1997,"project",-69651.6157527715,5,FALSE
1997,"counterfactual",-138783.948794916,5,FALSE
1997,"additionality",69132.3330421448,5,FALSE
1998,"project",-365295.067174569,5,FALSE
1998,"counterfactual",-263998.814585775,5,FALSE
1998,"additionality",-101296.252588794,5,FALSE
1999,"project",-474376.04492107,5,FALSE
1999,"counterfactual",-424750.67979154,5,FALSE
1999,"additionality",-49625.3651295304,5,FALSE
2000,"project",-535723.652805477,5,FALSE
2000,"counterfactual",-278845.78460817,5,FALSE
2000,"additionality",-256877.868197307,5,FALSE
2001,"project",-216689.901895896,5,FALSE
2001,"counterfactual",-370609.812830374,5,FALSE
2001,"additionality",153919.910934478,5,FALSE
2002,"project",-144568.306641206,5,FALSE
2002,"counterfactual",-145232.085410461,5,FALSE
2002,"additionality",663.778769254684,5,FALSE
2003,"project",-215786.801529586,5,FALSE
2003,"counterfactual",-201919.695404679,5,FALSE
2003,"additionality",-13867.1061249077,5,FALSE
2004,"project",-222465.228738517,5,FALSE
2004,"counterfactual",-178913.213572532,5,FALSE
2004,"additionality",-43552.0151659846,5,FALSE
2005,"project",-187745.535155177,5,FALSE
2005,"counterfactual",-363114.079789892,5,FALSE
2005,"additionality",175368.544634715,5,FALSE
2006,"project",-254696.880812675,5,FALSE
2006,"counterfactual",-247286.942306936,5,FALSE
2006,"additionality",-7409.93850573897,5,FALSE
2007,"project",-481591.81684798,5,FALSE
2007,"counterfactual",-335303.104008958,5,FALSE
2007,"additionality",-146288.712839022,5,FALSE
2008,"project",-120216.205263272,5,TRUE
2008,"counterfactual",-142098.327139303,5,TRUE
2008,"additionality",21882.1218760312,5,TRUE
2009,"project",-204398.705910221,5,TRUE
2009,"counterfactual",-277798.188183248,5,TRUE
2009,"additionality",73399.4822730273,5,TRUE
2010,"project",-132651.89730756,5,TRUE
2010,"counterfactual",-296018.238073826,5,TRUE
2010,"additionality",163366.340766266,5,TRUE
2011,"project",-174984.726979017,5,TRUE
2011,"counterfactual",-119313.104896933,5,TRUE
2011,"additionality",-55671.6220820844,5,TRUE
2012,"project",-186697.938730255,5,TRUE
2012,"counterfactual",-201314.618159249,5,TRUE
2012,"additionality",14616.6794289947,5,TRUE
2013,"project",-447612.665565059,5,TRUE
2013,"counterfactual",-283112.933839023,5,TRUE
2013,"additionality",-164499.731726035,5,TRUE
2014,"project",-7351.23698186874,5,TRUE
2014,"counterfactual",-319869.118748441,5,TRUE
2014,"additionality",312517.881766573,5,TRUE
2015,"project",-272388.616988942,5,TRUE
2015,"counterfactual",-163741.127418295,5,TRUE
2015,"additionality",-108647.489570647,5,TRUE
2016,"project",-199630.33597602,5,TRUE
2016,"counterfactual",-258964.030043513,5,TRUE
2016,"additionality",59333.6940674931,5,TRUE
2017,"project",-87320.7744199187,5,TRUE
2017,"counterfactual",-193931.772664517,5,TRUE
2017,"additionality",106610.998244599,5,TRUE
2018,"project",-91009.939416334,5,TRUE
2018,"counterfactual",-159383.668150768,5,TRUE
2018,"additionality",68373.7287344337,5,TRUE
2019,"project",-35013.2012023926,5,TRUE
2019,"counterfactual",-136684.240443215,5,TRUE
2019,"additionality",101671.039240822,5,TRUE
2020,"project",-240743.98015295,5,TRUE
2020,"counterfactual",-247720.430482805,5,TRUE
2020,"additionality",6976.45032985508,5,TRUE
2021,"project",-107274.777013853,5,TRUE
2021,"counterfactual",-222582.631786138,5,TRUE
2021,"additionality",115307.854772285,5,TRUE
1991,"project",-94703.6199145913,6,FALSE
1991,"counterfactual",-76628.0660826266,6,FALSE
1991,"additionality",-18075.5538319647,6,FALSE
1992,"project",-24293.3998541385,6,FALSE
1992,"counterfactual",-21823.4203522056,6,FALSE
1992,"additionality",-2469.97950193286,6,FALSE
1993,"project",-34114.6163378954,6,FALSE
1993,"counterfactual",-36440.0997812152,6,FALSE
1993,"additionality",2325.4834433198,6,FALSE
1994,"project",-48586.7997082472,6,FALSE
1994,"counterfactual",-52334.6662284881,6,FALSE
1994,"additionality",3747.8665202409,6,FALSE
1995,"project",-126637.248867854,6,FALSE
1995,"counterfactual",-138783.948794916,6,FALSE
1995,"additionality",12146.6999270618,6,FALSE
1996,"project",-162174.248282701,6,FALSE
1996,"counterfactual",-115912.932017744,6,FALSE
1996,"additionality",-46261.3162649572,6,FALSE
1997,"project",-105188.615167633,6,FALSE
1997,"counterfactual",-181297.398539633,6,FALSE
1997,"additionality",76108.7833719999,6,FALSE
1998,"project",-360269.31363599,6,FALSE
1998,"counterfactual",-241127.797808632,6,FALSE
1998,"additionality",-119141.515827358,6,FALSE
1999,"project",-390636.06345363,6,FALSE
1999,"counterfactual",-434571.896275312,6,FALSE
1999,"additionality",43935.8328216821,6,FALSE
2000,"project",-489462.336540535,6,FALSE
2000,"counterfactual",-252082.405252144,6,FALSE
2000,"additionality",-237379.931288391,6,FALSE
2001,"project",-148460.66922006,6,FALSE
2001,"counterfactual",-305464.667905569,6,FALSE
2001,"additionality",157003.998685509,6,FALSE
2002,"project",-93800.5195482969,6,FALSE
2002,"counterfactual",-91475.036104992,6,FALSE
2002,"additionality",-2325.4834433049,6,FALSE
2003,"project",-205446.302335128,6,FALSE
2003,"counterfactual",-192396.502041757,6,FALSE
2003,"additionality",-13049.8002933711,6,FALSE
2004,"project",-108791.985629275,6,FALSE
2004,"counterfactual",-181613.483667836,6,FALSE
2004,"additionality",72821.4980385602,6,FALSE
2005,"project",-157089.793220326,6,FALSE
2005,"counterfactual",-328854.967393383,6,FALSE
2005,"additionality",171765.174173057,6,FALSE
2006,"project",-279748.88497448,6,FALSE
2006,"counterfactual",-275242.414146543,6,FALSE
2006,"additionality",-4506.47082793713,6,FALSE
2007,"project",-480833.212540269,6,FALSE
2007,"counterfactual",-264084.609120578,6,FALSE
2007,"additionality",-216748.603419691,6,FALSE
2008,"project",-242202.487244561,6,TRUE
2008,"counterfactual",-218870.889280573,6,TRUE
2008,"additionality",-23331.5979639888,6,TRUE
2009,"project",-154534.019183606,6,TRUE
2009,"counterfactual",-254927.171406075,6,TRUE
2009,"additionality",100393.152222469,6,TRUE
2010,"project",-157609.075930953,6,TRUE
2010,"counterfactual",-259578.138292626,6,TRUE
2010,"additionality",101969.062361673,6,TRUE
2011,"project",-185420.051711872,6,TRUE
2011,"counterfactual",-161971.050700277,6,TRUE
2011,"additionality",-23449.0010115951,6,TRUE
2012,"project",-295259.633766145,6,TRUE
2012,"counterfactual",-220957.051126778,6,TRUE
2012,"additionality",-74302.5826393664,6,TRUE
2013,"project",-410269.465417534,6,TRUE
2013,"counterfactual",-337917.579569444,6,TRUE
2013,"additionality",-72351.8858480901,6,TRUE
2014,"project",-30393.8428286314,6,TRUE
2014,"counterfactual",-329374.250104025,6,TRUE
2014,"additionality",298980.407275394,6,TRUE
2015,"project",-161790.430627033,6,TRUE
2015,"counterfactual",-135785.655578688,6,TRUE
2015,"additionality",-26004.7750483453,6,TRUE
2016,"project",-253035.176138595,6,TRUE
2016,"counterfactual",-318735.727788731,6,TRUE
2016,"additionality",65700.5516501367,6,TRUE
2017,"project",-148862.54888311,6,TRUE
2017,"counterfactual",-137704.743857145,6,TRUE
2017,"additionality",-11157.805025965,6,TRUE
2018,"project",-139741.235183194,6,TRUE
2018,"counterfactual",-186205.749030605,6,TRUE
2018,"additionality",46464.5138474107,6,TRUE
2019,"project",-74442.5631961226,6,TRUE
2019,"counterfactual",-179256.391711757,6,TRUE
2019,"additionality",104813.828515634,6,TRUE
2020,"project",-188928.596635073,6,TRUE
2020,"counterfactual",-286486.013707265,6,TRUE
2020,"additionality",97557.4170721918,6,TRUE
2021,"project",-92283.3109328747,6,TRUE
2021,"counterfactual",-263375.675333023,6,TRUE
2021,"additionality",171092.364400148,6,TRUE
1991,"project",-106994.815900311,7,FALSE
1991,"counterfactual",-78953.5495259166,7,FALSE
1991,"additionality",-28041.2663743943,7,FALSE
1992,"project",-24293.3998541087,7,FALSE
1992,"counterfactual",-36440.0997812003,7,FALSE
1992,"additionality",12146.6999270916,7,FALSE
1993,"project",-54660.149671793,7,FALSE
1993,"counterfactual",-46116.820206359,7,FALSE
1993,"additionality",-8543.32946543396,7,FALSE
1994,"project",-36440.0997811705,7,FALSE
1994,"counterfactual",-84123.7991231233,7,FALSE
1994,"additionality",47683.6993419528,7,FALSE
1995,"project",-100921.46593678,7,FALSE
1995,"counterfactual",-172898.565132797,7,FALSE
1995,"additionality",71977.0991960168,7,FALSE
1996,"project",-141628.714948818,7,FALSE
1996,"counterfactual",-187370.748503178,7,FALSE
1996,"additionality",45742.0335543603,7,FALSE
1997,"project",-81798.3156798482,7,FALSE
1997,"counterfactual",-188793.131580114,7,FALSE
1997,"additionality",106994.815900266,7,FALSE
1998,"project",-371512.913196713,7,FALSE
1998,"counterfactual",-240224.697442308,7,FALSE
1998,"additionality",-131288.215754405,7,FALSE
1999,"project",-383140.330413148,7,FALSE
1999,"counterfactual",-291895.584901541,7,FALSE
